index	id	kind	len_or_value	blockOffset	value
0	0	4	7	0x2ee8	_global
1	1	4	19	0x2f04	checkedForOneClient
2	2	4	7	0x2f38	netDone
3	3	4	18	0x2f54	checkProcessResult
4	4	4	8	0x2f84	netError
5	5	4	2	0x2fa0	OK
6	6	4	5	0x2fb0	trace
7	7	4	13	0x2fc8	netTextResult
8	8	4	21	0x2ff0	CheckNittoProcessesCB
9	9	4	1	0x3028	1
10	10	4	6	0x3038	gNetID
11	11	4	6	0x3050	length
12	12	4	7	0x3068	_system
13	13	4	2	0x3084	gc
14	14	4	4	0x3094	eval
15	15	4	9	0x30a8	propList(
16	16	4	1	0x30c8	)
17	17	4	6	0x30d8	Object
18	18	4	2	0x30f0	ex
19	19	4	5	0x3100	isEnc
20	20	4	7	0x3118	decrypt
21	21	4	5	0x3134	exEnc
22	22	4	6	0x314c	sprite
23	23	4	7	0x3164	flashSP
24	24	4	21	0x3180	showConnectionErrorCB
25	25	4	14	0x31b8	Protocol Error
26	26	4	53	0x31e0	Connection protocol could not be established. Action:
27	27	4	13	0x3258	 (Error: 010)
28	28	4	3	0x3280	ex2
29	29	4	13	0x3294	 (Error: 001)
30	30	4	13	0x32bc	 (Error: 002)
31	31	4	8	0x32e4	"s",-100
32	32	4	17	0x3300	Session Timed Out
33	33	4	88	0x3330	I'm sorry, but your session has timed out, please restart the application. Last action: 
34	34	4	10	0x33ec	lastAction
35	35	4	4	0x340c	xtra
36	36	4	9	0x3420	xmlparser
37	37	4	11	0x3440	parseString
38	38	4	8	0x3464	getAProp
39	39	4	1	0x3480	d
40	40	4	17	0x3490	fetchCacheXMLDone
41	41	4	8	0x34c0	makeList
42	42	4	2	0x34dc	n2
43	43	4	1	0x34ec	s
44	44	4	3	0x34fc	ftc
45	45	4	7	0x3510	openURL
46	46	4	63	0x352c	http://www.facebook.com/connect/prompt_permissions.php?api_key=
47	47	4	14	0x35b8	facebookAPIKey
48	48	4	142	0x35e0	&v=1.0&next=http://www.facebook.com/connect/login_success.html?xxRESULTTOKENxx&display=popup&ext_perm=publish_stream&enable_profile_selector=0
49	49	4	3	0x3708	aid
50	50	4	4	0x371c	guid
51	51	4	2	0x3730	cp
52	52	4	7	0x3740	encrypt
53	53	4	2	0x375c	cw
54	54	4	3	0x376c	cwc
55	55	4	13	0x3780	connectSocket
56	56	4	7	0x37a8	loginCB
57	57	4	2	0x37c4	at
58	58	4	2	0x37d4	am
